day,type,mean
14,Initial MPN,1.296
15,Initial MPN,1.507
16,Initial MPN,1.714
17,Initial MPN,1.917
18,Initial MPN,2.113
19,Initial MPN,2.304
20,Initial MPN,2.487
21,Initial MPN,2.663
22,Initial MPN,2.831
23,Initial MPN,2.993
24,Initial MPN,3.147
14,Post Intervention,1.094
15,Post Intervention,1.305
16,Post Intervention,1.515
17,Post Intervention,1.721
18,Post Intervention,1.921
19,Post Intervention,2.114
20,Post Intervention,2.299
21,Post Intervention,2.477
22,Post Intervention,2.649
23,Post Intervention,2.813
24,Post Intervention,2.967
