"","day","n_total","n_exceed20000","per_exceed20000"
"1",1,100000,0,0
"2",2,100000,0,0
"3",3,100000,0,0
"4",4,100000,0,0
"5",5,100000,0,0
"6",6,100000,3,0.003
"7",7,100000,7,0.007
"8",8,100000,38,0.038
"9",9,100000,162,0.162
"10",10,100000,504,0.504
"11",11,100000,1158,1.158
"12",12,100000,2243,2.243
"13",13,100000,3705,3.705
"14",14,100000,5726,5.726
"15",15,100000,8654,8.654
"16",16,100000,13621,13.621
"17",17,100000,20586,20.586
"18",18,100000,29593,29.593
"19",19,100000,39964,39.964
"20",20,100000,50329,50.329
"21",21,100000,60201,60.201
"22",22,100000,68625,68.625
"23",23,100000,75886,75.886
"24",24,100000,81229,81.229
"25",25,100000,84880,84.88
"26",26,100000,87884,87.884
"27",27,100000,89635,89.635
"28",28,100000,91093,91.093
"29",29,100000,92555,92.555
"30",30,100000,94090,94.09
"31",31,100000,95689,95.689
"32",32,100000,97174,97.174
"33",33,100000,98383,98.383
"34",34,100000,99231,99.231
"35",35,100000,99690,99.69
